Noise: ,,Iteration: ,,Generations: ,,Agents per Strategy: ,
Generation 1
Tit For Two Tat,,,,,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),14647 / 18687 (100 Games),30000 / 30000 (100 Games)
Grim/Spite,,,,,,,,,13500 / 13500 (45 Games),11086 / 11246 (100 Games),30000 / 30000 (100 Games)
ZD-Extortion-2,,,,,,,,,,4945 / 4910 (45 Games),23535 / 16815 (100 Games)
ZD-GTFT-2,,,,,,,,,,,13500 / 13500 (45 Games)
Generation 8
 / ,Tit For Tat,Pavlov,Generous Tit For Tat,Firm But Fair,Always Cooperate,Always Defect,Random,Tit For Two Tat,Grim/Spite,ZD-Extortion-2,ZD-GTFT-2
Tit For Tat,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),9900 / 10400 (100 Games),22435 / 22660 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),11348 / 11848 (100 Games),30000 / 30000 (100 Games)
Pavlov,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),22444 / 22734 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),16659 / 22989 (100 Games),30000 / 30000 (100 Games)
Generous Tit For Tat,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),8983 / 14068 (100 Games),21805 / 24580 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),14667 / 18917 (100 Games),30000 / 30000 (100 Games)
Firm But Fair,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),19946 / 28431 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),18720 / 26970 (100 Games),30000 / 30000 (100 Games)
Always Cooperate,,,,,13500 / 13500 (45 Games),0 / 50000 (100 Games),14934 / 40044 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),22716 / 34856 (100 Games),30000 / 30000 (100 Games)
Always Defect,,,,,,4500 / 4500 (45 Games),29884 / 5029 (100 Games),10800 / 9800 (100 Games),10400 / 9900 (100 Games),10400 / 9900 (100 Games),19396 / 7651 (100 Games)
Random,,,,,,,10020 / 10170 (45 Games),31354 / 18664 (100 Games),5623 / 29748 (100 Games),17534 / 24499 (100 Games),25787 / 21137 (100 Games)
Tit For Two Tat,,,,,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),14456 / 18641 (100 Games),30000 / 30000 (100 Games)
Grim/Spite,,,,,,,,,13500 / 13500 (45 Games),10950 / 11095 (100 Games),30000 / 30000 (100 Games)
ZD-Extortion-2,,,,,,,,,,4935 / 4930 (45 Games),24011 / 17421 (100 Games)
ZD-GTFT-2,,,,,,,,,,,13500 / 13500 (45 Games)
Generation 9
 / ,Tit For Tat,Pavlov,Generous Tit For Tat,Firm But Fair,Always Cooperate,Always Defect,Random,Tit For Two Tat,Grim/Spite,ZD-Extortion-2,ZD-GTFT-2
Tit For Tat,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),9900 / 10400 (100 Games),22427 / 22702 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),11461 / 11961 (100 Games),30000 / 30000 (100 Games)
Pavlov,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),22783 / 22348 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),16671 / 22991 (100 Games),30000 / 30000 (100 Games)
Generous Tit For Tat,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),8873 / 14508 (100 Games),21454 / 24354 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),14910 / 18920 (100 Games),30000 / 30000 (100 Games)
Firm But Fair,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),19812 / 28452 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),18945 / 26865 (100 Games),30000 / 30000 (100 Games)
Always Cooperate,,,,,13500 / 13500 (45 Games),0 / 50000 (100 Games),15246 / 39836 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),22614 / 34924 (100 Games),30000 / 30000 (100 Games)
Always Defect,,,,,,4500 / 4500 (45 Games),30172 / 4957 (100 Games),10800 / 9800 (100 Games),10400 / 9900 (100 Games),10400 / 9900 (100 Games),19140 / 7715 (100 Games)
Random,,,,,,,9905 / 10220 (45 Games),31425 / 18785 (100 Games),5750 / 29790 (100 Games),17543 / 24493 (100 Games),25949 / 21079 (100 Games)
Tit For Two Tat,,,,,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),15294 / 20239 (100 Games),30000 / 30000 (100 Games)
Grim/Spite,,,,,,,,,13500 / 13500 (45 Games),11028 / 11208 (100 Games),30000 / 30000 (100 Games)
ZD-Extortion-2,,,,,,,,,,4894 / 4864 (45 Games),23870 / 17275 (100 Games)
ZD-GTFT-2,,,,,,,,,,,13500 / 13500 (45 Games)
Generation 10
 / ,Tit For Tat,Pavlov,Generous Tit For Tat,Firm But Fair,Always Cooperate,Always Defect,Random,Tit For Two Tat,Grim/Spite,ZD-Extortion-2,ZD-GTFT-2
Tit For Tat,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),9900 / 10400 (100 Games),22561 / 22751 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),11370 / 11870 (100 Games),30000 / 30000 (100 Games)
Pavlov,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),22545 / 22705 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),16734 / 22984 (100 Games),30000 / 30000 (100 Games)
Generous Tit For Tat,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),8946 / 14216 (100 Games),21690 / 24480 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),14863 / 19223 (100 Games),30000 / 30000 (100 Games)
Firm But Fair,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),19979 / 28369 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),18838 / 26908 (100 Games),30000 / 30000 (100 Games)
Always Cooperate,,,,,13500 / 13500 (45 Games),0 / 50000 (100 Games),15090 / 39940 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),22296 / 35136 (100 Games),30000 / 30000 (100 Games)
Always Defect,,,,,,4500 / 4500 (45 Games),29980 / 5005 (100 Games),10800 / 9800 (100 Games),10400 / 9900 (100 Games),10400 / 9900 (100 Games),19280 / 7680 (100 Games)
Random,,,,,,,10107 / 10242 (45 Games),31562 / 18742 (100 Games),5633 / 29878 (100 Games),17554 / 24684 (100 Games),25779 / 21229 (100 Games)
Tit For Two Tat,,,,,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),16151 / 20816 (100 Games),30000 / 30000 (100 Games)
Grim/Spite,,,,,,,,,13500 / 13500 (45 Games),10988 / 11128 (100 Games),30000 / 30000 (100 Games)
ZD-Extortion-2,,,,,,,,,,4882 / 4892 (45 Games),24097 / 17447 (100 Games)
ZD-GTFT-2,,,,,,,,,,,13500 / 13500 (45 Games)
